,source,target,weight
313,p7,h38,-970.9299137206496
314,p7,h39,5156.2667784442465
315,p7,h40,609.2399364852092
316,p7,h41,609.2399364852092
317,p7,h42,609.2399364852092
318,p7,h43,609.2399364852092
319,p7,h44,609.2399364852092
320,p7,h45,-4928.160824174709
321,p7,h46,-4928.160824174709
322,p8,h1,-4928.160824174709
323,p8,h2,-4928.160824174709
324,p8,h3,-4928.160824174709
325,p8,h4,-3101.121357248316
326,p8,h5,-326.9842220938993
327,p8,h6,-3101.121357248316
328,p8,h7,-3101.121357248316
329,p8,h8,-4928.160824174709
330,p8,h9,-4928.160824174709
331,p8,h10,-4928.160824174709
332,p8,h11,-4928.160824174709
333,p8,h12,-4928.160824174709
334,p8,h13,-326.9842220938993
335,p8,h14,-326.9842220938993
336,p8,h15,-3044.149027607444
337,p8,h16,5306.070926770218
338,p8,h17,312.9857464026403
339,p8,h18,312.9857464026403
340,p8,h19,-2128.054891830867
341,p8,h20,-2128.054891830867
342,p8,h21,1243.862978636898
343,p8,h22,-2128.054891830867
344,p8,h23,1243.862978636898
345,p8,h24,312.9857464026403
346,p8,h25,-926.9820571344
347,p8,h26,1243.862978636898
348,p8,h27,1778.0511615024
349,p8,h28,-326.9842220938993
350,p8,h29,3641.831645130229
351,p8,h30,-326.9842220938993
352,p8,h31,-326.9842220938993
353,p8,h32,-326.9842220938993
354,p8,h33,-326.9842220938993
355,p8,h34,1243.862978636898
356,p8,h35,5306.070926770218
357,p8,h36,-3407.085092850839
358,p8,h37,312.9857464026403
359,p8,h38,-1832.1067490756143
360,p8,h39,1778.0511615024
361,p8,h40,-326.9842220938993
362,p8,h41,-326.9842220938993
363,p8,h42,-326.9842220938993
364,p8,h43,-326.9842220938993
365,p8,h44,-326.9842220938993
366,p8,h45,-4928.160824174709
367,p8,h46,-4928.160824174709
368,p9,h1,-4928.160824174709
369,p9,h2,-4928.160824174709
370,p9,h3,-4928.160824174709
371,p9,h4,-2163.09211846917
372,p9,h5,-2436.968067284775
373,p9,h6,-2163.09211846917
374,p9,h7,-2163.09211846917
375,p9,h8,-4928.160824174709
376,p9,h9,-4928.160824174709
377,p9,h10,-4928.160824174709
378,p9,h11,-4928.160824174709
379,p9,h12,-4928.160824174709
380,p9,h13,-2436.968067284775
381,p9,h14,-2436.968067284775
382,p9,h15,-326.9842220938993
383,p9,h16,-249.7894826727562
384,p9,h17,2849.280662411564
385,p9,h18,2849.280662411564
386,p9,h19,-2486.8763747695884
387,p9,h20,-2486.8763747695884
388,p9,h21,174.1067991962298
389,p9,h22,-2486.8763747695884
390,p9,h23,174.1067991962298
391,p9,h24,2849.280662411564
392,p9,h25,177.0973952571248
393,p9,h26,174.1067991962298
394,p9,h27,5878.342909993741
395,p9,h28,-2436.968067284775
396,p9,h29,-494.9364202019453
397,p9,h30,-2436.968067284775
398,p9,h31,-2436.968067284775
399,p9,h32,-2436.968067284775
400,p9,h33,-2436.968067284775
401,p9,h34,174.1067991962298
402,p9,h35,-249.7894826727562
403,p9,h36,-2952.958090650139
404,p9,h37,2849.280662411564
405,p9,h38,-1578.0065927718535
406,p9,h39,5878.342909993741
407,p9,h40,-2436.968067284775
408,p9,h41,-2436.968067284775
409,p9,h42,-2436.968067284775
410,p9,h43,-2436.968067284775
411,p9,h44,-2436.968067284775
412,p9,h45,-4928.160824174709
413,p9,h46,-4928.160824174709
414,p1,p2,-4928.160824174709
415,p2,p3,-4928.160824174709
416,p3,p4,-4928.160824174709
417,p4,p5,-4928.160824174709
418,p5,p6,-4928.160824174709
419,p6,p7,-4928.160824174709
420,p7,p8,-4928.160824174709
421,p8,p9,-4928.160824174709
422,h1,h2,-4928.160824174709
423,h2,h3,-4928.160824174709
424,h3,h4,-4928.160824174709
425,h4,h5,-2163.09211846917
426,h5,h6,-2163.09211846917
427,h6,h7,-3803.1431974414686
428,h7,h8,-4928.160824174709
429,h8,h9,-4928.160824174709
430,h9,h10,-4928.160824174709
431,h10,h11,-4928.160824174709
432,h11,h12,-4928.160824174709
433,h12,h13,-4928.160824174709
434,h13,h14,-2436.968067284775
435,h14,h15,-326.9842220938993
436,h15,h16,5306.070926770218
437,h16,h17,509.2095830223013
438,h17,h18,9163.618344068673
439,h18,h19,-1712.9194710576444
440,h19,h20,-3704.131999317415
441,h20,h21,-1856.9647387223913
442,h21,h22,-1856.9647387223913
443,h22,h23,-1856.9647387223913
444,h23,h24,4978.157672136041
445,h24,h25,-321.877537705425
446,h25,h26,2433.9050512286494
447,h26,h27,6459.362983115881
448,h27,h28,5878.342909993741
449,h28,h29,-494.9364202019453
450,h29,h30,-494.9364202019453
451,h30,h31,-2436.968067284775
452,h31,h32,-2436.968067284775
453,h32,h33,-2436.968067284775
454,h33,h34,174.1067991962298
455,h34,h35,12.085720790131177
456,h35,h36,-3561.0391389172382
457,h36,h37,-1204.7704181798147
458,h37,h38,-386.9320593789456
459,h38,h39,1163.0733954059303
460,h39,h40,5878.342909993741
461,h40,h41,-2436.968067284775
462,h41,h42,-2436.968067284775
463,h42,h43,-2436.968067284775
464,h43,h44,-2436.968067284775
465,h44,h45,-4928.160824174709
466,h45,h46,-4928.160824174709
